#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378556.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378556.biom -o ../SRR13378556.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3280519
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.12114	3280519
k__Bacteria|p__Bacteroidetes	2|976	83.14951	0.93222	2746674
k__Bacteria|p__Firmicutes	2|1239	14.15939	0.15875	450569
k__Bacteria|p__Proteobacteria	2|1224	1.52697	0.01712	51371
k__Bacteria|p__Actinobacteria	2|201174	1.07318	0.01203	26604
k__Bacteria|p__Lentisphaerae	2|256845	0.09094	0.00102	5301
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	83.14951	0.93222	2746674
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.32442	0.11575	363008
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.11669	0.03494	71018
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.36981	0.01536	47256
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.89885	0.01008	22117
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.69185	0.00776	15889
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.17434	0.00195	4487
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.14249	0.0016	3671
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.09094	0.00102	5301
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01467	0.00016	444
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.01397	0.00016	394
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.01245	0.00014	260
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	83.14951	0.93222	2746674
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	10.32442	0.11575	363008
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.83284	0.03176	65072
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.90782	0.01018	20710
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.87897	0.00985	21560
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.56426	0.00633	12618
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.46199	0.00518	26546
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.28385	0.00318	5946
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.1705	0.00191	4382
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.14249	0.0016	3671
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.12758	0.00143	3271
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.09094	0.00102	5301
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.01988	0.00022	557
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01467	0.00016	444
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.01397	0.00016	394
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.01245	0.00014	260
