#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378597.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378597.biom -o ../SRR13378597.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2702251
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.93859	2702251
k__Bacteria|p__Firmicutes	2|1239	65.99185	0.61939	1528204
k__Bacteria|p__Bacteroidetes	2|976	23.4464	0.22007	939634
k__Bacteria|p__Actinobacteria	2|201174	9.59753	0.09008	200364
k__Bacteria|p__Proteobacteria	2|1224	0.91518	0.00859	31656
k__Bacteria|p__Lentisphaerae	2|256845	0.04905	0.00046	2393
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	41.49927	0.38951	998387
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	23.4464	0.22007	939634
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.59753	0.09008	200364
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	8.56354	0.08038	204972
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	7.18638	0.06745	139402
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.82374	0.06405	145252
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.91893	0.01801	40191
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.76044	0.00714	27391
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.14929	0.0014	4127
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.04905	0.00046	2393
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00545	5e-05	138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	41.49927	0.38951	998387
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	23.4464	0.22007	939634
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	8.64665	0.08116	177574
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	8.56354	0.08038	204972
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	7.18638	0.06745	139402
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	6.60132	0.06196	141702
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.91893	0.01801	40191
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.95088	0.00892	22790
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.40166	0.00377	20447
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.35877	0.00337	6944
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.22241	0.00209	3550
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.14929	0.0014	4127
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.04905	0.00046	2393
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.00545	5e-05	138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	14.6835	0.13782	362028
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	13.83356	0.12984	490788
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	13.78249	0.12936	395546
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	10.82823	0.10163	201628
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	8.64665	0.08116	177574
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	8.56354	0.08038	204972
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	7.18638	0.06745	139402
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	6.60132	0.06196	141702
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	6.00577	0.05637	314229
