#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378560.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378560.biom -o ../SRR13378560.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:622865
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.8103	0.18244	617155
k__Eukaryota	2759	0.1897	0.00035	5710
k__Bacteria|p__Firmicutes	2|1239	50.44836	0.09221	281245
k__Bacteria|p__Bacteroidetes	2|976	32.56121	0.05952	247186
k__Bacteria|p__Spirochaetes	2|203691	16.61637	0.03037	88003
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.1897	0.00035	5710
k__Bacteria|p__Actinobacteria	2|201174	0.12747	0.00023	509
k__Bacteria|p__Proteobacteria	2|1224	0.0569	0.0001	212
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.49331	0.08498	262209
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	32.56121	0.05952	247186
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	16.61637	0.03037	88003
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.47435	0.00452	12447
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.65777	0.0012	2693
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.48958	0.00089	2563
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.33335	0.00061	1333
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.1897	0.00035	5710
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.12747	0.00023	509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.0569	0.0001	212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	46.49331	0.08498	262209
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	32.56121	0.05952	247186
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	16.61637	0.03037	88003
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.47435	0.00452	12447
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.48958	0.00089	2563
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.48702	0.00089	2035
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.33335	0.00061	1333
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.1897	0.00035	5710
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.17076	0.00031	658
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.12747	0.00023	509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.0569	0.0001	212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	30.30531	0.05539	185521
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	19.56547	0.03576	135957
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	2|203691|203692|136|137	16.61637	0.03037	88003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	10.30717	0.01884	51078
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	10.26353	0.01876	91073
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	2.47435	0.00452	12447
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	2.44026	0.00446	6859
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	1.58326	0.00289	7904
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	1.38577	0.00253	8242
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	1.04177	0.0019	5858
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.88875	0.00162	6845
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.8017	0.00147	7453
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.48958	0.00089	2563
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.48702	0.00089	2035
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	0.42404	0.00078	2347
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.33335	0.00061	1333
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified	2759||||	0.1897	0.00035	5710
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.17076	0.00031	658
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.12747	0.00023	509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.0569	0.0001	212
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.0475	9e-05	258
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	22.77435	0.04163	139485
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	19.56547	0.03576	135957
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	2|203691|203692|136|137|157	16.61637	0.03037	88003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	10.26353	0.01876	91073
