#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378563.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378563.biom -o ../SRR13378563.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3079421
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.99524	0.92007	3078701
k__Eukaryota	2759	0.00476	4e-05	720
k__Bacteria|p__Bacteroidetes	2|976	69.90859	0.64324	2256297
k__Bacteria|p__Firmicutes	2|1239	29.27755	0.26939	803103
k__Bacteria|p__Proteobacteria	2|1224	0.63892	0.00588	12915
k__Bacteria|p__Lentisphaerae	2|256845	0.10684	0.00098	5111
k__Bacteria|p__Actinobacteria	2|201174	0.06334	0.00058	1275
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.00476	4e-05	720
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	69.90859	0.64324	2256297
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	24.77233	0.22793	702384
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.95126	0.01795	41209
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.2731	0.01171	22258
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.70605	0.0065	14857
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.57481	0.00529	22395
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.54983	0.00506	10740
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.10684	0.00098	5111
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0787	0.00072	1958
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.06334	0.00058	1275
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01038	0.0001	217
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.00476	4e-05	720
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	69.90859	0.64324	2256297
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	24.77233	0.22793	702384
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.95126	0.01795	41209
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.2731	0.01171	22258
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.70605	0.0065	14857
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.57481	0.00529	22395
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.54983	0.00506	10740
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.10684	0.00098	5111
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.0787	0.00072	1958
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.06334	0.00058	1275
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.01038	0.0001	217
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.00476	4e-05	720
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	68.43436	0.62967	2200696
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	14.53778	0.13376	447956
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	4.31268	0.03968	115157
