#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378583.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378583.biom -o ../SRR13378583.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3897875
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.8687	1.10781	3879716
k__Eukaryota	2759	0.1313	0.00146	18159
k__Bacteria|p__Bacteroidetes	2|976	90.97887	1.0092	3571329
k__Bacteria|p__Firmicutes	2|1239	8.6836	0.09632	301341
k__Eukaryota|p__Ascomycota	2759|4890	0.1313	0.00146	18159
k__Bacteria|p__Proteobacteria	2|1224	0.10228	0.00113	4543
k__Bacteria|p__Actinobacteria	2|201174	0.09884	0.0011	2398
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00511	6e-05	105
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	90.97887	1.0092	3571329
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.19096	0.09086	288191
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.36051	0.004	9145
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.13212	0.00147	4005
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.1313	0.00146	18159
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.09884	0.0011	2398
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.07544	0.00084	3716
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02315	0.00026	694
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.00511	6e-05	105
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00369	4e-05	133
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	90.97887	1.0092	3571329
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	8.19096	0.09086	288191
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.36051	0.004	9145
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.13212	0.00147	4005
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	0.1313	0.00146	18159
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.09884	0.0011	2398
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.05859	0.00065	3331
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02315	0.00026	694
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.01685	0.00019	385
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.00511	6e-05	105
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00369	4e-05	133
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	90.87651	1.00806	3565822
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	5.49517	0.06096	211916
