#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378603.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378603.biom -o ../SRR13378603.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2175425
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	86.60652	0.67189	1988854
k__Archaea	2157	13.3576	0.10363	183101
k__Eukaryota	2759	0.03588	0.00028	3470
k__Bacteria|p__Firmicutes	2|1239	58.86256	0.45665	1274329
k__Bacteria|p__Bacteroidetes	2|976	14.79944	0.11481	377750
k__Archaea|p__Euryarchaeota	2157|28890	13.3576	0.10363	183101
k__Bacteria|p__Actinobacteria	2|201174	6.99371	0.05426	120291
k__Bacteria|p__Proteobacteria	2|1224	4.59308	0.03563	185189
k__Bacteria|p__Spirochaetes	2|203691	1.31424	0.0102	29541
k__Bacteria|p__Lentisphaerae	2|256845	0.04349	0.00034	1754
k__Eukaryota|p__Ascomycota	2759|4890	0.03588	0.00028	3470
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	35.20552	0.27312	836181
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	14.79944	0.11481	377750
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	13.3576	0.10363	183101
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	11.65992	0.09046	206625
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	8.16208	0.06332	134742
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.39144	0.04958	109813
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.42693	0.03434	181704
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.15732	0.01674	44735
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.6777	0.01302	52046
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	1.31424	0.0102	29541
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.60228	0.00467	10478
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.16615	0.00129	3485
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.04349	0.00034	1754
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	0.03588	0.00028	3470
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	35.20552	0.27312	836181
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	14.79944	0.11481	377750
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	13.3576	0.10363	183101
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	11.60445	0.09003	205894
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	8.16208	0.06332	134742
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.8464	0.04536	99235
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.42693	0.03434	181704
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.15732	0.01674	44735
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.6777	0.01302	52046
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	1.31424	0.0102	29541
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.54944	0.00426	9477
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.54503	0.00423	10578
