#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378588.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378588.biom -o ../SRR13378588.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:936789
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.31367	936789
k__Bacteria|p__Firmicutes	2|1239	44.70008	0.14021	387698
k__Bacteria|p__Bacteroidetes	2|976	41.43758	0.12998	413128
k__Bacteria|p__Spirochaetes	2|203691	6.70321	0.02103	53293
k__Bacteria|p__Actinobacteria	2|201174	2.73291	0.00857	18755
k__Bacteria|p__Proteobacteria	2|1224	2.6051	0.00817	34212
k__Bacteria|p__Lentisphaerae	2|256845	1.82112	0.00571	29703
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	41.43758	0.12998	413128
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	40.31298	0.12645	354616
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	6.70321	0.02103	53293
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	3.24071	0.01016	23857
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.73291	0.00857	18755
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	1.82112	0.00571	29703
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.48454	0.00466	24035
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.01908	0.0032	7310
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.97524	0.00306	8689
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.14532	0.00046	1488
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.12731	0.0004	1915
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	41.43758	0.12998	413128
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	40.31298	0.12645	354616
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	6.70321	0.02103	53293
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	3.24071	0.01016	23857
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.73291	0.00857	18755
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	1.82112	0.00571	29703
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.48454	0.00466	24035
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.01908	0.0032	7310
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.97524	0.00306	8689
