#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378555.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378555.biom -o ../SRR13378555.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:954642
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.30491	954642
k__Bacteria|p__Bacteroidetes	2|976	48.43125	0.14767	505313
k__Bacteria|p__Firmicutes	2|1239	34.78151	0.10605	321895
k__Bacteria|p__Spirochaetes	2|203691	15.78995	0.04815	121150
k__Bacteria|p__Actinobacteria	2|201174	0.53562	0.00163	3634
k__Bacteria|p__Proteobacteria	2|1224	0.46167	0.00141	2650
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	48.43125	0.14767	505313
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	25.04107	0.07635	256340
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	15.78995	0.04815	121150
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	9.11917	0.02781	60941
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.61666	0.00188	4579
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.53562	0.00163	3634
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.29714	0.00091	1541
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.11115	0.00034	739
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05338	0.00016	370
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.00461	1e-05	35
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	48.43125	0.14767	505313
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	25.04107	0.07635	256340
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	13.87055	0.04229	106670
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.11917	0.02781	60941
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	1.91941	0.00585	14480
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.61666	0.00188	4579
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.47061	0.00143	3139
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.29714	0.00091	1541
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.11115	0.00034	739
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.06501	0.0002	495
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.05338	0.00016	370
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.00461	1e-05	35
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	48.4141	0.14762	505137
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	20.06012	0.06117	213303
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	2|203691|203692|136|137	13.87055	0.04229	106670
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	8.2855	0.02526	55486
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	2.6915	0.00821	23427
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.10443	0.00642	18430
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae	2|203691|203692|1643686|143786	1.91941	0.00585	14480
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.61666	0.00188	4579
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.47061	0.00143	3139
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	0.4241	0.00129	2903
