#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378546.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378546.biom -o ../SRR13378546.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:751114
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.4276	0.27739	727677
k__Archaea	2157	4.5724	0.01329	23437
k__Bacteria|p__Firmicutes	2|1239	40.40279	0.11744	331099
k__Bacteria|p__Actinobacteria	2|201174	36.94278	0.10739	239516
k__Bacteria|p__Bacteroidetes	2|976	17.88689	0.05199	154155
k__Archaea|p__Euryarchaeota	2157|28890	4.5724	0.01329	23437
k__Bacteria|p__Proteobacteria	2|1224	0.19515	0.00057	2907
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	36.14045	0.10505	233816
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	30.9157	0.08987	258651
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	17.88689	0.05199	154155
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.88705	0.01711	49011
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	4.5724	0.01329	23437
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.52772	0.00735	16804
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.017	0.00296	6229
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.80233	0.00233	5700
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.19515	0.00057	2907
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.05532	0.00016	404
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	31.82477	0.09251	202403
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	30.9157	0.08987	258651
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	17.88689	0.05199	154155
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.88705	0.01711	49011
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	4.5724	0.01329	23437
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	4.31568	0.01254	31413
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	2.52772	0.00735	16804
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.017	0.00296	6229
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.80233	0.00233	5700
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.19515	0.00057	2907
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.05532	0.00016	404
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	31.82477	0.09251	202403
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	14.41021	0.04189	130454
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	13.23768	0.03848	109747
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	7.94863	0.02311	60518
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	6.58489	0.01914	46757
