#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378584.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378584.biom -o ../SRR13378584.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5093800
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.74888	1.5223	5030688
k__Eukaryota	2759	0.25112	0.00383	63112
k__Bacteria|p__Bacteroidetes	2|976	96.29551	1.4696	4848129
k__Bacteria|p__Firmicutes	2|1239	1.59555	0.02435	63337
k__Bacteria|p__Proteobacteria	2|1224	1.27223	0.01942	98728
k__Bacteria|p__Actinobacteria	2|201174	0.56667	0.00865	18992
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.25112	0.00383	63112
k__Bacteria|p__Lentisphaerae	2|256845	0.01893	0.00029	1502
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	96.29551	1.4696	4848129
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.344	0.02051	55325
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.24722	0.01903	97556
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.56667	0.00865	18992
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.25112	0.00383	63112
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.17381	0.00265	5299
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.07773	0.00119	2713
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.025	0.00038	1172
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.01893	0.00029	1502
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	96.29551	1.4696	4848129
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.344	0.02051	55325
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.24722	0.01903	97556
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.55181	0.00842	18425
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.25112	0.00383	63112
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.17381	0.00265	5299
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.07773	0.00119	2713
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.025	0.00038	1172
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.01893	0.00029	1502
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.01486	0.00023	567
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	95.66971	1.46005	4809729
