#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378608.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378608.biom -o ../SRR13378608.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3578588
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.05125	1.0664	3480566
k__Archaea	2157	4.94875	0.05552	98022
k__Bacteria|p__Proteobacteria	2|1224	85.94961	0.96428	3164071
k__Bacteria|p__Firmicutes	2|1239	5.84916	0.06562	170424
k__Archaea|p__Euryarchaeota	2157|28890	4.94875	0.05552	98022
k__Bacteria|p__Bacteroidetes	2|976	2.04612	0.02296	108530
k__Bacteria|p__Verrucomicrobia	2|74201	0.92514	0.01038	28966
k__Bacteria|p__Actinobacteria	2|201174	0.16449	0.00185	4037
k__Bacteria|p__Spirochaetes	2|203691	0.08536	0.00096	2708
k__Bacteria|p__Lentisphaerae	2|256845	0.03138	0.00035	1830
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	85.20264	0.9559	3121120
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	4.94875	0.05552	98022
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.11911	0.02377	54373
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	2.04612	0.02296	108530
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.8736	0.02102	58477
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.84658	0.02072	57250
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.92514	0.01038	28966
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.74696	0.00838	42951
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.16449	0.00185	4037
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.08536	0.00096	2708
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.03138	0.00035	1830
