#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378578.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378578.biom -o ../SRR13378578.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2640683
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.79748	2640683
k__Bacteria|p__Bacteroidetes	2|976	53.6232	0.42763	1544428
k__Bacteria|p__Firmicutes	2|1239	45.95814	0.36651	1087922
k__Bacteria|p__Actinobacteria	2|201174	0.30154	0.0024	5261
k__Bacteria|p__Proteobacteria	2|1224	0.11712	0.00093	3072
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	53.6232	0.42763	1544428
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	43.17038	0.34428	1041368
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.14949	0.00917	17114
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.00744	0.00803	17801
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.55759	0.00445	10169
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.30154	0.0024	5261
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.08876	0.00071	1914
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.07324	0.00058	1470
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02835	0.00023	1158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	53.6232	0.42763	1544428
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	43.17038	0.34428	1041368
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.14949	0.00917	17114
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.00744	0.00803	17801
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.55759	0.00445	10169
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.30154	0.0024	5261
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.08876	0.00071	1914
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.07324	0.00058	1470
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.02835	0.00023	1158
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	52.81871	0.42122	1521239
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	21.83595	0.17414	584910
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	18.96326	0.15123	408084
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	1.27365	0.01016	31089
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	1.14949	0.00917	17114
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.80618	0.00643	14198
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.66701	0.00532	7792
