#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378625.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378625.biom -o ../SRR13378625.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1764273
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.92333	0.56636	1743045
k__Archaea	2157	2.07667	0.01201	21228
k__Bacteria|p__Firmicutes	2|1239	53.19462	0.30766	760536
k__Bacteria|p__Proteobacteria	2|1224	20.01301	0.11575	594795
k__Bacteria|p__Bacteroidetes	2|976	14.45227	0.08359	254165
k__Bacteria|p__Actinobacteria	2|201174	10.22628	0.05915	132927
k__Archaea|p__Euryarchaeota	2157|28890	2.07667	0.01201	21228
k__Bacteria|p__Spirochaetes	2|203691	0.03715	0.00021	622
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	21.48111	0.12424	345832
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	20.00343	0.11569	594646
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	19.43622	0.11241	238291
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	14.45227	0.08359	254165
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.54527	0.05521	122554
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	7.08834	0.041	108576
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.31103	0.02493	54909
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.07667	0.01201	21228
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.87791	0.00508	12928
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.68101	0.00394	10373
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.03715	0.00021	622
