#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378595.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378595.biom -o ../SRR13378595.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4410284
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.60207	1.23931	4377476
k__Archaea	2157	1.38844	0.01745	30843
k__Eukaryota	2759	0.0095	0.00012	1965
k__Bacteria|p__Firmicutes	2|1239	54.46807	0.6846	1962320
k__Bacteria|p__Bacteroidetes	2|976	39.70065	0.49899	2202981
k__Bacteria|p__Proteobacteria	2|1224	2.02475	0.02545	123084
k__Bacteria|p__Actinobacteria	2|201174	1.56106	0.01962	43358
k__Archaea|p__Euryarchaeota	2157|28890	1.38844	0.01745	30843
k__Bacteria|p__Lentisphaerae	2|256845	0.51378	0.00646	33579
k__Bacteria|p__Spirochaetes	2|203691	0.33375	0.00419	12154
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.0095	0.00012	1965
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	44.97287	0.56526	1661003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	39.70065	0.49899	2202981
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6.55057	0.08233	196333
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.86523	0.02344	115610
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.70222	0.02139	49099
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.56106	0.01962	43358
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.38844	0.01745	30843
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.24242	0.01562	55885
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.51378	0.00646	33579
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.33375	0.00419	12154
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.15953	0.00201	7474
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.0095	0.00012	1965
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	44.97287	0.56526	1661003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	39.70065	0.49899	2202981
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	6.55057	0.08233	196333
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.74235	0.0219	112240
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.65577	0.02081	47595
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.45201	0.01825	39929
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.38844	0.01745	30843
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.24242	0.01562	55885
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.51378	0.00646	33579
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.33375	0.00419	12154
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.15953	0.00201	7474
