#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378567.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378567.biom -o ../SRR13378567.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1329548
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.98231	0.41523	1328339
k__Eukaryota	2759	0.01769	7e-05	1209
k__Bacteria|p__Bacteroidetes	2|976	88.58991	0.36792	1195034
k__Bacteria|p__Firmicutes	2|1239	10.60905	0.04406	121126
k__Bacteria|p__Proteobacteria	2|1224	0.78336	0.00325	12179
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.01769	7e-05	1209
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	88.58991	0.36792	1195034
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.15745	0.04218	117056
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.40042	0.00166	7508
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.38294	0.00159	4671
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.24173	0.001	2296
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.16016	0.00067	1389
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.04971	0.00021	385
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.01769	7e-05	1209
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	88.58991	0.36792	1195034
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	10.15745	0.04218	117056
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.27592	0.00115	6442
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.25502	0.00106	3458
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.24173	0.001	2296
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.16016	0.00067	1389
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.12792	0.00053	1213
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.1245	0.00052	1066
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.04971	0.00021	385
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.01769	7e-05	1209
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	86.4863	0.35918	1163590
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	3.22789	0.01341	39722
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	3.01967	0.01254	40850
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.61222	0.0067	9808
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.60954	0.00668	23172
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	1.17203	0.00487	12473
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified	2|1239|186801|186802|	0.88342	0.00367	11110
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.27592	0.00115	6442
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	2|1224|28216|80840|80864	0.25502	0.00106	3458
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.24222	0.00101	3093
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.24173	0.001	2296
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.18637	0.00077	2300
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.15917	0.00066	2835
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.14853	0.00062	3137
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.13223	0.00055	1129
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	2|1224|28216|206351|481	0.12792	0.00053	1213
