#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378623.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378623.biom -o ../SRR13378623.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:5893771
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.80794	1.78337	5887706
k__Archaea	2157	0.19206	0.00343	6065
k__Bacteria|p__Firmicutes	2|1239	53.81471	0.96156	2960382
k__Bacteria|p__Bacteroidetes	2|976	36.02778	0.64375	2321344
k__Bacteria|p__Actinobacteria	2|201174	5.76809	0.10306	228149
k__Bacteria|p__Proteobacteria	2|1224	4.17435	0.07459	375693
k__Archaea|p__Euryarchaeota	2157|28890	0.19206	0.00343	6065
k__Bacteria|p__Lentisphaerae	2|256845	0.02302	0.00041	2138
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	45.43909	0.81191	2562367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	36.02778	0.64375	2321344
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	5.76809	0.10306	228149
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.72336	0.06653	352875
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.58206	0.064	147957
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.93263	0.0524	139281
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.31393	0.02348	85394
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.547	0.00977	25383
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.45099	0.00806	22818
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.19206	0.00343	6065
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.02302	0.00041	2138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	45.43909	0.81191	2562367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	36.02778	0.64375	2321344
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	5.30255	0.09475	207338
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	3.72336	0.06653	352875
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	3.2775	0.05856	133934
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.93263	0.0524	139281
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.31393	0.02348	85394
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.547	0.00977	25383
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.46554	0.00832	20811
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.45099	0.00806	22818
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.30456	0.00544	14023
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.19206	0.00343	6065
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.02302	0.00041	2138
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	32.80636	0.58619	2045221
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	22.61354	0.40406	1399824
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	20.83137	0.37222	1061402
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	5.30255	0.09475	207338
