#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378628.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378628.biom -o ../SRR13378628.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2808968
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.18102	0.94165	2648010
k__Archaea	2157	8.81898	0.09108	160958
k__Bacteria|p__Firmicutes	2|1239	64.01698	0.66112	1671724
k__Bacteria|p__Actinobacteria	2|201174	10.79763	0.11151	248986
k__Archaea|p__Euryarchaeota	2157|28890	8.81898	0.09108	160958
k__Bacteria|p__Bacteroidetes	2|976	8.17287	0.0844	301497
k__Bacteria|p__Proteobacteria	2|1224	7.94409	0.08204	418785
k__Bacteria|p__Spirochaetes	2|203691	0.22524	0.00233	5718
k__Bacteria|p__Lentisphaerae	2|256845	0.02422	0.00025	1300
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	47.37015	0.4892	1266598
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	10.79763	0.11151	248986
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	8.81898	0.09108	160958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.17287	0.0844	301497
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	7.82524	0.08081	414344
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.39955	0.06609	151149
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6.00249	0.06199	134733
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.93782	0.03034	77098
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.30697	0.0135	42146
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.22524	0.00233	5718
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.07709	0.0008	2599
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.04176	0.00043	1842
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.02422	0.00025	1300
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	47.37015	0.4892	1266598
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	9.25193	0.09555	209049
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	8.81898	0.09108	160958
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	8.17287	0.0844	301497
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	7.82524	0.08081	414344
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	6.39955	0.06609	151149
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	6.00249	0.06199	134733
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.93782	0.03034	77098
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.5457	0.01596	39937
