#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378582.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378582.biom -o ../SRR13378582.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1409495
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.91326	0.43244	1408832
k__Archaea	2157	0.08674	0.00038	663
k__Bacteria|p__Bacteroidetes	2|976	63.82806	0.27626	964274
k__Bacteria|p__Firmicutes	2|1239	32.93573	0.14255	410570
k__Bacteria|p__Actinobacteria	2|201174	1.41092	0.00611	13372
k__Bacteria|p__Proteobacteria	2|1224	1.03787	0.00449	12147
k__Bacteria|p__Spirochaetes	2|203691	0.66781	0.00289	7730
k__Archaea|p__Euryarchaeota	2157|28890	0.08674	0.00038	663
k__Bacteria|p__Lentisphaerae	2|256845	0.03286	0.00014	739
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	63.82806	0.27626	964274
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	30.29103	0.13111	374627
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.41092	0.00611	13372
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.03787	0.00449	12147
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.96686	0.00418	9570
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.93819	0.00406	18632
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.73966	0.0032	7741
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.66781	0.00289	7730
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.08674	0.00038	663
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.03286	0.00014	739
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	63.82806	0.27626	964274
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	30.29103	0.13111	374627
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.40214	0.00607	13277
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.03787	0.00449	12147
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.96686	0.00418	9570
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.93819	0.00406	18632
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.73966	0.0032	7741
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.58718	0.00254	6873
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.08674	0.00038	663
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.08063	0.00035	857
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.03286	0.00014	739
