#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378566.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378566.biom -o ../SRR13378566.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1518137
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.7597	0.47053	1509099
k__Archaea	2157	0.13883	0.00065	1157
k__Eukaryota	2759	0.10147	0.00048	7881
k__Bacteria|p__Bacteroidetes	2|976	63.86509	0.30123	1046206
k__Bacteria|p__Firmicutes	2|1239	23.71366	0.11185	307821
k__Bacteria|p__Spirochaetes	2|203691	10.02829	0.0473	120546
k__Bacteria|p__Proteobacteria	2|1224	1.28187	0.00605	23612
k__Bacteria|p__Actinobacteria	2|201174	0.7388	0.00348	7677
k__Archaea|p__Euryarchaeota	2157|28890	0.13883	0.00065	1157
k__Bacteria|p__Lentisphaerae	2|256845	0.13199	0.00062	3237
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.10147	0.00048	7881
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	63.86509	0.30123	1046206
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.22542	0.0954	265883
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	10.02829	0.0473	120546
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.91238	0.00902	23383
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.84332	0.00398	9978
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.81771	0.00386	12392
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.7388	0.00348	7677
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.53716	0.00253	6732
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.46416	0.00219	11220
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.19539	0.00092	1845
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.13883	0.00065	1157
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.13199	0.00062	3237
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.10147	0.00048	7881
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	63.86509	0.30123	1046206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	20.22542	0.0954	265883
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	10.02829	0.0473	120546
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.91238	0.00902	23383
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.81771	0.00386	12392
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.70245	0.00331	7249
