#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378571.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378571.biom -o ../SRR13378571.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:382967
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.8548	0.1312	361765
k__Eukaryota	2759	0.949	0.00126	20742
k__Archaea	2157	0.1962	0.00026	460
k__Bacteria|p__Firmicutes	2|1239	30.82917	0.04092	105804
k__Bacteria|p__Spirochaetes	2|203691	25.09616	0.03331	85221
k__Bacteria|p__Bacteroidetes	2|976	24.14753	0.03205	117031
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	15.23432	0.02022	37591
k__Bacteria|p__Proteobacteria	2|1224	2.31934	0.00308	11569
k__Bacteria|p__Verrucomicrobia	2|74201	1.22829	0.00163	4549
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.949	0.00126	20742
k__Archaea|p__Euryarchaeota	2157|28890	0.1962	0.00026	460
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	25.09616	0.03331	85221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	24.14753	0.03205	117031
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	15.41627	0.02046	54226
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	15.23432	0.02022	37591
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	14.19952	0.01885	47769
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	1.22829	0.00163	4549
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.21337	0.00161	3809
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.1738	0.00156	7458
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.14553	0.00152	4111
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.949	0.00126	20742
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.1962	0.00026	460
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	25.09616	0.03331	85221
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	24.14753	0.03205	117031
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	15.41627	0.02046	54226
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	15.23432	0.02022	37591
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	14.19952	0.01885	47769
