#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378562.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378562.biom -o ../SRR13378562.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:8804259
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.58733	3.00918	8672771
k__Archaea	2157	2.41267	0.0744	131488
k__Bacteria|p__Firmicutes	2|1239	60.69393	1.87154	5384591
k__Bacteria|p__Actinobacteria	2|201174	19.08423	0.58848	1291325
k__Bacteria|p__Bacteroidetes	2|976	17.16298	0.52923	1894642
k__Archaea|p__Euryarchaeota	2157|28890	2.41267	0.0744	131488
k__Bacteria|p__Proteobacteria	2|1224	0.46857	0.01445	73733
k__Bacteria|p__Lentisphaerae	2|256845	0.17762	0.00548	28480
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	53.391	1.64635	4854928
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	19.07701	0.58825	1290890
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	17.16298	0.52923	1894642
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	3.46698	0.10691	264836
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.22235	0.09936	208017
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	2.41267	0.0744	131488
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.45716	0.0141	34898
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.4486	0.01383	71650
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.17762	0.00548	28480
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.15645	0.00482	21912
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01942	0.0006	2035
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.00723	0.00022	435
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00055	2e-05	48
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	53.391	1.64635	4854928
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	18.74702	0.57808	1265045
