#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378565.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378565.biom -o ../SRR13378565.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3295592
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.97093	3295592
k__Bacteria|p__Bacteroidetes	2|976	82.88036	0.80471	2813784
k__Bacteria|p__Firmicutes	2|1239	15.5715	0.15119	431949
k__Bacteria|p__Proteobacteria	2|1224	1.47161	0.01429	48062
k__Bacteria|p__Actinobacteria	2|201174	0.07652	0.00074	1797
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	82.88036	0.80471	2813784
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.84825	0.13446	399881
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.43982	0.01398	26188
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.1679	0.01134	32110
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.30039	0.00292	15887
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.26542	0.00258	5507
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.07652	0.00074	1797
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.01801	0.00017	373
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.00332	3e-05	65
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	82.88036	0.80471	2813784
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	13.84825	0.13446	399881
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.43982	0.01398	26188
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	1.1679	0.01134	32110
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.30039	0.00292	15887
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.26542	0.00258	5507
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.06424	0.00062	1364
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.01801	0.00017	373
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.01228	0.00012	433
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.00332	3e-05	65
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	60.96441	0.59192	1962019
