#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378602.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378602.biom -o ../SRR13378602.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1565396
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.57691	1565396
k__Bacteria|p__Firmicutes	2|1239	70.44887	0.40642	1035730
k__Bacteria|p__Actinobacteria	2|201174	11.52303	0.06648	147381
k__Bacteria|p__Bacteroidetes	2|976	10.57221	0.06099	200821
k__Bacteria|p__Proteobacteria	2|1224	4.26422	0.0246	133700
k__Bacteria|p__Spirochaetes	2|203691	3.10225	0.0179	45082
k__Bacteria|p__Lentisphaerae	2|256845	0.08943	0.00052	2682
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	38.97586	0.22485	603761
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	13.86688	0.08	190649
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	11.52303	0.06648	147381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	10.57221	0.06099	200821
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	10.54294	0.06082	139041
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.61424	0.03816	94404
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.26422	0.0246	133700
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	3.10225	0.0179	45082
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.44894	0.00259	7875
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.08943	0.00052	2682
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	38.97586	0.22485	603761
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	13.86688	0.08	190649
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	10.57221	0.06099	200821
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	10.47198	0.06041	138167
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	10.4548	0.06031	131963
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	6.61424	0.03816	94404
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.26422	0.0246	133700
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	3.00267	0.01732	43670
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.06823	0.00616	15418
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.44894	0.00259	7875
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.09957	0.00057	1412
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.08943	0.00052	2682
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.07096	0.00041	874
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	19.0852	0.1101	286213
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	13.86688	0.08	190649
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	13.59496	0.07843	230160
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	10.57221	0.06099	200821
