#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378610.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378610.biom -o ../SRR13378610.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1973636
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	0.62051	1973636
k__Bacteria|p__Bacteroidetes	2|976	48.45195	0.30065	1084305
k__Bacteria|p__Firmicutes	2|1239	46.38552	0.28783	818914
k__Bacteria|p__Actinobacteria	2|201174	4.12209	0.02558	56333
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.64514	0.004	7442
k__Bacteria|p__Spirochaetes	2|203691	0.37708	0.00234	6337
k__Bacteria|p__Proteobacteria	2|1224	0.01821	0.00011	305
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	48.45195	0.30065	1084305
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	27.77215	0.17233	527669
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.10549	0.04409	91019
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6.03072	0.03742	95827
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.12209	0.02558	56333
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.34165	0.02074	47421
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.13551	0.01325	56978
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.64514	0.004	7442
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.37708	0.00234	6337
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01821	0.00011	305
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	48.45195	0.30065	1084305
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	27.77215	0.17233	527669
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.10549	0.04409	91019
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	6.03072	0.03742	95827
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	3.93118	0.02439	53370
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	3.34165	0.02074	47421
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.13551	0.01325	56978
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.64514	0.004	7442
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.34127	0.00212	5791
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.19091	0.00118	2963
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.03581	0.00022	546
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01821	0.00011	305
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	48.20061	0.29909	1078973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	13.33879	0.08277	277594
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	12.08248	0.07497	212887
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	6.47978	0.04021	82427
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	6.03072	0.03742	95827
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	3.93118	0.02439	53370
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	3.34165	0.02074	47421
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.13551	0.01325	56978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.99246	0.00616	19932
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.90072	0.00559	9163
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales|f__Candidatus_Gastranaerophilales_unclassified	2|1798710||1906119|	0.64514	0.004	7442
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.54601	0.00339	7482
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.36064	0.00224	6651
