taxon	SRR13378546	SRR13378550	SRR13378552	SRR13378554	SRR13378555	SRR13378556	SRR13378560	SRR13378562	SRR13378563	SRR13378564	SRR13378565	SRR13378566	SRR13378567	SRR13378569	SRR13378571	SRR13378573	SRR13378574	SRR13378577	SRR13378578	SRR13378579	SRR13378580	SRR13378581	SRR13378582	SRR13378583	SRR13378584	SRR13378585	SRR13378586	SRR13378588	SRR13378589	SRR13378590	SRR13378591	SRR13378592	SRR13378594	SRR13378595	SRR13378597	SRR13378599	SRR13378600	SRR13378601	SRR13378602	SRR13378603	SRR13378605	SRR13378606	SRR13378607	SRR13378608	SRR13378609	SRR13378610	SRR13378614	SRR13378616	SRR13378618	SRR13378621	SRR13378622	SRR13378623	SRR13378624	SRR13378625	SRR13378628	SRR13378630	SRR13378631	SRR13378632	SRR13378633
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa 	0	0	0	0	0	4382.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	865.0	0	0	0	0	0	0	824.0	0	0	0	0	0	0	0	1479.0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae 	0	0	0	0	0	0	0	210.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.0	0	0	0	0	0	0	0	0	53.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.0	0	0	0	0	0	0	0	0	0	0	156.0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens 	202403.0	23945.0	187.0	726.0	3139.0	21560.0	509.0	1261552.0	1275.0	331.0	1364.0	7249.0	0	4133.0	0	1630.0	67562.0	33692.0	5261.0	36177.0	9279.0	1503.0	13277.0	2398.0	18425.0	7939.0	3372.0	18755.0	4336.0	436209.0	4656.0	9801.0	11137.0	39929.0	177481.0	176546.0	25132.0	73236.0	131963.0	99235.0	14253.0	69294.0	405501.0	4037.0	693548.0	53370.0	49153.0	120765.0	83500.0	8256.0	35745.0	206977.0	11815.0	108472.0	209049.0	193532.0	60586.0	76309.0	141507.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris 	0	0	0	0	0	0	0	2949.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.0	0	0	0	0	93.0	148.0	0	0	0	0	0	46.0	1475.0	0	1013.0	0	0	188.0	45.0	0	0	361.0	0	94.0	0	271.0	0	94.0	45.0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__[Collinsella]_massiliensis 	0	0	0	0	0	0	0	334.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens 	161.0	0	0	0	0	0	0	1845.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2383.0	0	0	542.0	0	0	0	0	8728.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus 	0	0	0	0	0	0	0	616.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460.0	0	0	0	0	0	0	0	3274.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta 	0	5172.0	0	0	0	0	0	0	0	0	433.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
