#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378599.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378599.biom -o ../SRR13378599.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:4949562
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.29875	1.70464	4928286
k__Archaea	2157	0.70125	0.01204	21276
k__Bacteria|p__Firmicutes	2|1239	77.55156	1.33131	3684291
k__Bacteria|p__Bacteroidetes	2|976	16.41947	0.28187	1033296
k__Bacteria|p__Actinobacteria	2|201174	5.0396	0.08651	190642
k__Archaea|p__Euryarchaeota	2157|28890	0.70125	0.01204	21276
k__Bacteria|p__Proteobacteria	2|1224	0.28813	0.00495	20057
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	67.10168	1.15192	3290003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	16.41947	0.28187	1033296
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	6.48608	0.11135	235412
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	4.97508	0.08541	188301
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.48901	0.04273	97721
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.17562	0.02018	47251
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.70125	0.01204	21276
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.29918	0.00514	13904
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.24538	0.00421	18015
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.06452	0.00111	2341
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02684	0.00046	1304
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01591	0.00027	738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	67.10168	1.15192	3290003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	16.41947	0.28187	1033296
