#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378624.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378624.biom -o ../SRR13378624.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:961028
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	93.96245	0.28054	929242
k__Archaea	2157	6.03755	0.01803	31786
k__Bacteria|p__Firmicutes	2|1239	77.87553	0.23251	735534
k__Bacteria|p__Bacteroidetes	2|976	8.15663	0.02435	82654
k__Bacteria|p__Proteobacteria	2|1224	6.12146	0.01828	99239
k__Archaea|p__Euryarchaeota	2157|28890	6.03755	0.01803	31786
k__Bacteria|p__Actinobacteria	2|201174	1.80883	0.0054	11815
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	68.6411	0.20494	662737
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.15663	0.02435	82654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	6.12146	0.01828	99239
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	6.03755	0.01803	31786
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	4.61003	0.01376	32365
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.28738	0.00683	20047
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.26378	0.00676	19885
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.80883	0.0054	11815
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.07324	0.00022	500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	68.6411	0.20494	662737
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	8.15663	0.02435	82654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	6.12146	0.01828	99239
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	6.03755	0.01803	31786
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	4.61003	0.01376	32365
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.28738	0.00683	20047
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.26378	0.00676	19885
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.80883	0.0054	11815
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.07324	0.00022	500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	50.23052	0.14997	533482
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	13.9149	0.04154	98989
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	8.15663	0.02435	82654
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	6.12146	0.01828	99239
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	6.03755	0.01803	31786
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	4.61003	0.01376	32365
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	2.38572	0.00712	20071
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.28738	0.00683	20047
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	2.26378	0.00676	19885
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.94647	0.00581	8513
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.80883	0.0054	11815
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.1635	0.00049	1682
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.07324	0.00022	500
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	20.03582	0.05982	223941
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter	2|1239|186801|186802|186803|1407607	12.95031	0.03866	146038
