#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378580.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378580.biom -o ../SRR13378580.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2778869
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.64717	0.82263	2730901
k__Eukaryota	2759	0.35283	0.00291	47968
k__Bacteria|p__Bacteroidetes	2|976	59.16856	0.48846	1649439
k__Bacteria|p__Firmicutes	2|1239	28.84665	0.23814	604063
k__Bacteria|p__Proteobacteria	2|1224	9.67562	0.07988	406193
k__Bacteria|p__Lentisphaerae	2|256845	1.4426	0.01191	61927
k__Bacteria|p__Actinobacteria	2|201174	0.51376	0.00424	9279
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.35283	0.00291	47968
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	59.16856	0.48846	1649439
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	27.02552	0.22311	566144
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	8.63371	0.07128	383404
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	1.4426	0.01191	61927
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	1.09149	0.00901	22743
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.97808	0.00807	21834
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.51919	0.00429	10266
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.51376	0.00424	9279
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.35283	0.00291	47968
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.20756	0.00171	4855
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.06383	0.00053	955
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.00288	2e-05	55
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	59.16856	0.48846	1649439
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	27.02552	0.22311	566144
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	8.58265	0.07085	382535
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	1.4426	0.01191	61927
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	1.09149	0.00901	22743
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.97808	0.00807	21834
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.51376	0.00424	9279
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.35283	0.00291	47968
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.24113	0.00199	5129
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.20756	0.00171	4855
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.19525	0.00161	3686
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.08282	0.00068	1451
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.06383	0.00053	955
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.05106	0.00042	869
