#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378579.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378579.biom -o ../SRR13378579.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2366237
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	78.40076	0.69042	2033837
k__Archaea	2157	21.59924	0.19021	332400
k__Bacteria|p__Firmicutes	2|1239	49.26035	0.4338	1235922
k__Archaea|p__Euryarchaeota	2157|28890	21.59924	0.19021	332400
k__Bacteria|p__Verrucomicrobia	2|74201	21.17763	0.1865	520483
k__Bacteria|p__Bacteroidetes	2|976	3.55505	0.03131	137831
k__Bacteria|p__Actinobacteria	2|201174	2.09912	0.01849	40748
k__Bacteria|p__Proteobacteria	2|1224	1.92789	0.01698	87015
k__Bacteria|p__Synergistetes	2|508458	0.36882	0.00325	11644
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.0119	0.0001	194
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	21.59924	0.19021	332400
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	21.17763	0.1865	520483
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	18.98842	0.16722	481796
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.9735	0.14947	452384
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	11.23309	0.09892	259397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.55505	0.03131	137831
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.01119	0.01771	39119
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.95738	0.01724	39952
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.92789	0.01698	87015
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.36882	0.00325	11644
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.10796	0.00095	2393
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.08794	0.00077	1629
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.0119	0.0001	194
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	21.59924	0.19021	332400
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	21.17763	0.1865	520483
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	18.98842	0.16722	481796
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	16.9735	0.14947	452384
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	11.23309	0.09892	259397
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	3.55505	0.03131	137831
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	1.92789	0.01698	87015
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.87762	0.01653	36177
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	1.74958	0.01541	35237
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.36882	0.00325	11644
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.2078	0.00183	4715
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.13357	0.00118	2942
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.10796	0.00095	2393
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.07235	0.00064	1294
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.01559	0.00014	335
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified|o__Candidatus_Gastranaerophilales	2|1798710||1906119	0.0119	0.0001	194
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	21.59924	0.19021	332400
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	21.17763	0.1865	520483
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	17.55873	0.15463	453880
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	11.23309	0.09892	259397
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	8.20563	0.07226	262029
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.07346	0.04468	112812
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	1.92789	0.01698	87015
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	1.87762	0.01653	36177
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	1.74958	0.01541	35237
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.65239	0.01455	23141
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	1.1939	0.01051	47859
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Leuconostocaceae	2|1239|91061|186826|81850	1.19028	0.01048	23535
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	1.12863	0.00994	34376
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.98513	0.00868	24904
