#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378632.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378632.biom -o ../SRR13378632.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1590809
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	86.68003	0.494	1456696
k__Archaea	2157	13.31997	0.07591	134113
k__Bacteria|p__Firmicutes	2|1239	59.81923	0.34092	945948
k__Archaea|p__Euryarchaeota	2157|28890	13.31997	0.07591	134113
k__Bacteria|p__Actinobacteria	2|201174	11.91381	0.0679	151060
k__Bacteria|p__Proteobacteria	2|1224	9.86288	0.05621	254782
k__Bacteria|p__Bacteroidetes	2|976	4.44092	0.02531	94286
k__Bacteria|p__Spirochaetes	2|203691	0.64319	0.00367	10620
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	46.08476	0.26264	744410
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	13.31997	0.07591	134113
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.21161	0.0411	91874
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	5.95308	0.03393	182616
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	5.30987	0.03026	74724
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.94637	0.02819	63793
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	4.7022	0.0268	59186
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.44092	0.02531	94286
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	3.72598	0.02123	69333
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.01955	0.01151	27160
