#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378601.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378601.biom -o ../SRR13378601.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3725000
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.99143	1.10503	3665551
k__Archaea	2157	3.00857	0.03428	59449
k__Bacteria|p__Firmicutes	2|1239	39.87874	0.45434	1205855
k__Bacteria|p__Verrucomicrobia	2|74201	30.70406	0.34981	976272
k__Bacteria|p__Bacteroidetes	2|976	20.57917	0.23446	1257958
k__Bacteria|p__Actinobacteria	2|201174	3.49681	0.03984	89256
k__Archaea|p__Euryarchaeota	2157|28890	3.00857	0.03428	59449
k__Bacteria|p__Proteobacteria	2|1224	2.33265	0.02658	136210
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	30.70406	0.34981	976272
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	20.57917	0.23446	1257958
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.5099	0.23367	663102
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	13.84624	0.15775	398875
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	3.49681	0.03984	89256
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	3.04331	0.03467	80029
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	3.00857	0.03428	59449
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	2.38756	0.0272	59739
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	2.33265	0.02658	136210
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.09173	0.00105	4110
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	30.70406	0.34981	976272
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	20.57917	0.23446	1257958
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	20.5099	0.23367	663102
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	13.84624	0.15775	398875
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	3.04331	0.03467	80029
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	3.00857	0.03428	59449
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	2.93804	0.03347	73236
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	2.38756	0.0272	59739
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	2.33265	0.02658	136210
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.55878	0.00637	16020
