#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378569.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378569.biom -o ../SRR13378569.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:3315803
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	100.0	1.01623	3315803
k__Bacteria|p__Bacteroidetes	2|976	79.10712	0.80391	2699323
k__Bacteria|p__Firmicutes	2|1239	19.14462	0.19455	575363
k__Bacteria|p__Spirochaetes	2|203691	0.8743	0.00888	22198
k__Bacteria|p__Proteobacteria	2|1224	0.68808	0.00699	14786
k__Bacteria|p__Actinobacteria	2|201174	0.18589	0.00189	4133
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	79.10712	0.80391	2699323
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	13.75656	0.1398	455299
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	4.19122	0.04259	91409
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.8743	0.00888	22198
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.72954	0.00741	15732
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.6358	0.00646	13576
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.46729	0.00475	12923
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.18589	0.00189	4133
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05228	0.00053	1210
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	79.10712	0.80391	2699323
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	13.75656	0.1398	455299
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	4.06347	0.04129	88936
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.8743	0.00888	22198
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.63337	0.00644	13476
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.54451	0.00553	11432
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.46729	0.00475	12923
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.18589	0.00189	4133
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.18503	0.00188	4300
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.12775	0.0013	2473
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	0.05228	0.00053	1210
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.00243	2e-05	100
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	78.81439	0.80094	2689309
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	7.80376	0.0793	277090
