#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378591.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378591.biom -o ../SRR13378591.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2037327
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.87072	0.57534	2025062
k__Eukaryota	2759	0.12928	0.00074	12265
k__Bacteria|p__Bacteroidetes	2|976	90.24498	0.51989	1853605
k__Bacteria|p__Firmicutes	2|1239	8.42844	0.04855	153609
k__Bacteria|p__Spirochaetes	2|203691	0.7476	0.00431	11904
k__Bacteria|p__Actinobacteria	2|201174	0.36941	0.00213	4656
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.12928	0.00074	12265
k__Bacteria|p__Proteobacteria	2|1224	0.0776	0.00045	1208
k__Bacteria|p__Lentisphaerae	2|256845	0.0027	2e-05	80
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	90.24498	0.51989	1853605
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.141	0.0469	149532
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.7476	0.00431	11904
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.36941	0.00213	4656
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.18932	0.00109	2494
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.12928	0.00074	12265
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0776	0.00045	1208
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.0756	0.00044	961
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.02253	0.00013	622
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.0027	2e-05	80
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	90.24498	0.51989	1853605
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	8.141	0.0469	149532
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.7476	0.00431	11904
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.36941	0.00213	4656
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.18932	0.00109	2494
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.12928	0.00074	12265
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.0776	0.00045	1208
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.0756	0.00044	961
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.02253	0.00013	622
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	2|256845|1313211|278082	0.0027	2e-05	80
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	89.55412	0.51591	1840207
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	4.26275	0.02456	84724
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	2.6524	0.01528	45281
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	2|203691|203692|136|137	0.7476	0.00431	11904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.69086	0.00398	13398
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	0.51861	0.00299	8849
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.4231	0.00244	7995
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.36941	0.00213	4656
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.25116	0.00145	2119
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.18932	0.00109	2494
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified	2759||||	0.12928	0.00074	12265
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.0776	0.00045	1208
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.0756	0.00044	961
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.03299	0.00019	564
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.02253	0.00013	622
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	2|256845|1313211|278082|255528	0.0027	2e-05	80
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	89.55412	0.51591	1840207
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium	2|1239|186801|186802|541000|216851	2.42041	0.01394	41575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	2|1239|186801|186802|186803|	2.1091	0.01215	40711
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia	2|1239|186801|186802|186803|841	0.80092	0.00461	17462
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	2|203691|203692|136|137|157	0.7476	0.00431	11904
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	0.69086	0.00398	13398
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	2|1239|186801|186802|186803|572511	0.5541	0.00319	12693
