#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378585.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378585.biom -o ../SRR13378585.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2046755
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.96744	0.60769	2043496
k__Eukaryota	2759	0.03256	0.0002	3259
k__Bacteria|p__Bacteroidetes	2|976	60.80803	0.36965	1310971
k__Bacteria|p__Firmicutes	2|1239	36.72712	0.22326	681129
k__Bacteria|p__Proteobacteria	2|1224	1.03262	0.00628	30139
k__Bacteria|p__Spirochaetes	2|203691	0.7893	0.0048	13068
k__Bacteria|p__Actinobacteria	2|201174	0.59693	0.00363	7939
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.03256	0.0002	3259
k__Bacteria|p__Fusobacteria	2|32066	0.01344	8e-05	250
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	60.80803	0.36965	1310971
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	31.19707	0.18964	607195
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.17929	0.03148	68474
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.99614	0.00606	29540
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.7893	0.0048	13068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.59693	0.00363	7939
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.2651	0.00161	3685
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.05038	0.00031	1227
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.03648	0.00022	599
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03528	0.00021	548
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.03256	0.0002	3259
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.01344	8e-05	250
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	60.80803	0.36965	1310971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	31.19707	0.18964	607195
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.17929	0.03148	68474
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.82214	0.005	27387
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0.7893	0.0048	13068
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.59693	0.00363	7939
