#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378573.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378573.biom -o ../SRR13378573.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:2290051
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.70294	0.72202	2256971
k__Eukaryota	2759	0.27502	0.00199	32798
k__Archaea	2157	0.02204	0.00016	282
k__Bacteria|p__Bacteroidetes	2|976	60.88761	0.44093	1463825
k__Bacteria|p__Spirochaetes	2|203691	21.31664	0.15437	417585
k__Bacteria|p__Firmicutes	2|1239	17.05716	0.12352	361946
k__Bacteria|p__Proteobacteria	2|1224	0.33859	0.00245	11985
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.27502	0.00199	32798
k__Bacteria|p__Actinobacteria	2|201174	0.10294	0.00075	1630
k__Archaea|p__Euryarchaeota	2157|28890	0.02204	0.00016	282
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	60.88761	0.44093	1463825
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	21.31664	0.15437	417585
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	16.44866	0.11912	351907
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.32262	0.00234	4970
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.29804	0.00216	11363
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.27502	0.00199	32798
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.16967	0.00123	2810
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.10294	0.00075	1630
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.07258	0.00053	1436
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.04363	0.00032	823
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.02359	0.00017	290
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.02204	0.00016	282
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01697	0.00012	332
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	60.88761	0.44093	1463825
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	20.56888	0.14895	404273
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	16.44866	0.11912	351907
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0.74777	0.00542	13312
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.32262	0.00234	4970
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.28313	0.00205	11143
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0.27502	0.00199	32798
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.16967	0.00123	2810
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.10294	0.00075	1630
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.07258	0.00053	1436
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.04363	0.00032	823
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales	2|1224|29547|213849	0.02359	0.00017	290
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.02204	0.00016	282
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.01697	0.00012	332
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.01491	0.00011	220
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	60.54762	0.43847	1455537
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	2|203691|203692|136|137	20.56888	0.14895	404273
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	5.59283	0.0405	110252
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	5.04124	0.03651	126072
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	3.78732	0.02743	80634
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.91209	0.00661	19631
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae	2|203691|203692|1643686|143786	0.74777	0.00542	13312
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572	0.7211	0.00522	7649
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.39409	0.00285	7669
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	0.33998	0.00246	8288
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.32262	0.00234	4970
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.28313	0.00205	11143
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified	2759||||	0.27502	0.00199	32798
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae	2|1239|909932|1843488|909930	0.16967	0.00123	2810
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.10294	0.00075	1630
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.07258	0.00053	1436
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.04363	0.00032	823
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae	2|1224|29547|213849|72294	0.02359	0.00017	290
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.02204	0.00016	282
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.01697	0.00012	332
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.01491	0.00011	220
