#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378550.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378550.biom -o ../SRR13378550.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:9175900
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.83687	2.89115	9098102
k__Eukaryota	2759	0.16313	0.00472	77798
k__Bacteria|p__Bacteroidetes	2|976	75.23873	2.17882	7084915
k__Bacteria|p__Firmicutes	2|1239	21.79374	0.63112	1792730
k__Bacteria|p__Proteobacteria	2|1224	2.15693	0.06246	165186
k__Bacteria|p__Actinobacteria	2|201174	0.52575	0.01522	36943
k__Eukaryota|p__Eukaryota_unclassified	2759|	0.16313	0.00472	77798
k__Bacteria|p__Lentisphaerae	2|256845	0.12172	0.00352	18328
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	75.23873	2.17882	7084915
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.7899	0.60205	1724241
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	1.21266	0.03512	63708
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.67881	0.01966	46805
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.52768	0.01528	75995
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.50292	0.01456	35429
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.39743	0.01151	23536
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.2432	0.00704	16194
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0.16313	0.00472	77798
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria	2|256845|1313211	0.12172	0.00352	18328
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.08183	0.00237	5490
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.02282	0.00066	1514
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0108	0.00031	885
