#mpa_v30_CHOCOPhlAn_201901
#/home/allie/src/miniconda3/envs/bf_its/bin/metaphlan SRR13378600.uniq.fa.gz --input_type fasta --nproc 8 -t rel_ab_w_read_stats --biom ../SRR13378600.biom -o ../SRR13378600.metaphlan.out
#SampleID	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:1969270
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.27821	0.53635	1878708
k__Archaea	2157	8.72179	0.05125	90562
k__Bacteria|p__Firmicutes	2|1239	40.54666	0.23825	621549
k__Bacteria|p__Bacteroidetes	2|976	22.96606	0.13495	462533
k__Bacteria|p__Proteobacteria	2|1224	22.56644	0.1326	721039
k__Archaea|p__Euryarchaeota	2157|28890	8.72179	0.05125	90562
k__Bacteria|p__Spirochaetes	2|203691	2.81911	0.01657	42221
k__Bacteria|p__Actinobacteria	2|201174	2.37628	0.01396	31326
k__Bacteria|p__Candidatus_Melainabacteria	2|1798710	0.00366	2e-05	40
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	22.96606	0.13495	462533
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	21.95489	0.12901	711322
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	20.73023	0.12181	345495
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	13.71947	0.08062	184096
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	8.72179	0.05125	90562
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	5.18267	0.03045	76470
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	2.81911	0.01657	42221
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.37628	0.01396	31326
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.65122	0.00383	11597
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.61155	0.00359	9717
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.26306	0.00155	3891
k__Bacteria|p__Candidatus_Melainabacteria|c__Candidatus_Melainabacteria_unclassified	2|1798710|	0.00366	2e-05	40
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	22.96606	0.13495	462533
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	21.7937	0.12806	709319
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	20.73023	0.12181	345495
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	13.44428	0.079	180672
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	8.72179	0.05125	90562
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	5.18267	0.03045	76470
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.95492	0.01149	25132
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	1.71719	0.01009	24805
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	1.10192	0.00647	17416
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.65122	0.00383	11597
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.61155	0.00359	9717
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.42136	0.00248	6194
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.27519	0.00162	3424
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.26306	0.00155	3891
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.16119	0.00095	2003
